1;100;70;170;50;204
3;120;50;130;40;150
5;140;70;170;55;190
7;115;50;130;40;150
9;160;70;170;55;190
1;100;70;170;50;204
3;120;50;130;40;150
5;140;70;170;55;190
7;115;50;130;40;150
9;160;70;170;55;190
1;100;70;170;50;204
3;120;50;130;40;150
5;140;70;170;55;190
7;115;50;130;40;150
9;160;70;170;55;190
1;300;70;170;50;204
3;320;50;130;40;150
5;340;70;170;55;190
7;315;50;130;40;150
9;360;70;170;55;190
1;300;70;170;50;204
3;320;50;130;40;150
5;340;70;170;55;190
7;315;50;130;40;150
9;360;70;170;55;190
1;300;70;170;50;204
3;320;50;130;40;150
5;340;70;170;55;190
7;315;50;130;40;150
9;360;70;170;55;190
1;30;70;170;50;204
3;32;50;130;40;150
5;34;70;170;55;190
7;31;50;130;40;150
9;36;70;170;55;190
1;30;70;170;50;204
3;32;50;130;40;150
5;34;70;170;55;190
7;31;50;130;40;150
9;36;70;170;55;190
1;30;70;170;50;204
3;32;50;130;40;150
5;34;70;170;55;190
7;31;50;130;40;150
9;36;70;170;55;190
1;55;70;170;50;204
3;44;50;130;40;150
5;66;70;170;55;190
7;44;50;130;40;150
9;57;70;170;55;190
1;55;70;170;50;204
3;44;50;130;40;150
5;66;70;170;55;190
7;44;50;130;40;150
9;57;70;170;55;190
1;55;70;170;50;204
3;44;50;130;40;150
5;66;70;170;55;190
7;44;50;130;40;150
9;57;70;170;55;190
